iter	Passed	Remaining
687	3109083	361521
688	3113155	356951
689	3118020	352471
690	3122486	347947
691	3127336	343464
692	3131906	338950
693	3136604	334450
694	3141270	329946
695	3146013	325449
696	3150627	320939
697	3155121	316416
698	3159261	311858
699	3164035	307363
700	3168662	302853
701	3173557	298368
702	3178145	293854
703	3182618	289328
